"Timestamp","Informed Implied consent 

I have read and completely understood the above information  ","I confirm that I am participating in this research voluntarily   "," 1.University  ","Batch","Sex","Age: (Enter Age)  ","Nationality","Relationship Status","Religion","  6.Current place of residence:   ","  7.Familytype:   ","  8.Study Year   "," [I have felt as if something serious was going to happen unexpectedly with the epidemic]"," [I have felt that I am unable to control the important things in my life because of the epidemic]"," [I have felt nervous or stressed about the epidemic]"," [I have been confident about my ability to handle my personal problems related to the epidemic]"," [I have felt optimistic that things are going well with the epidemic]"," [I have felt unable to cope with the things I have to do to monitor for a possible infection]"," [I have felt that I can control the difficulties that could appear in my life as a result of the infection]"," [I have felt that I have everything under control in relation to the epidemic]"," [I have been upset that things related to the epidemic are out of my control]"," [I have felt that the difficulties are increasing in these days of the epidemic, and I feel unable to overcome them]","Academic [My academic workload has increased due to online education during Covid 19]","Academic [It's difficult to manage my time for self-studies during the pandemic]","Academic [I am facing difficulties due to the lack of knowledge in using various devices which help my online studies]","Academic [Accessibility of Internet affects my daily active participation in online learning]","Academic [My academic performance has decreased during Covid 19]","Academic [Online learning content is difficult to understand]","Academic [Accessibility of educational Support and Services provided by the university has been significantly decreased due to the pandemic]","Psychological [I am afraid of losing my grades during the pandemic]","Psychological [Spending more time on household activities during the pandemic has mentally increased my stress]","Psychological [I am unable to pay attention during online lectures.]","Social [. Reduction in family income during the pandemic has increased my stress level]","Social [Low Interaction with other colleagues during the pandemic has negatively affected my mental health.]","Social [I have had misunderstanding with my romantic partner due to less contact during the pandemic.]","Social [Loss of family support in academics during the pandemic has decreased my academic performance.]"," [1.I've been turning to work or other things to take my mind off the pandemic situation.]"," [2.I’ve been concentrating my efforts on doing something about the pandemic situation.]"," [3.I’ve been saying to myself “The pandemic wasn’t real”]"," [4.I’ve been using alcohol or other drugs to make myself feel better due to the pandemic.]"," [5.I've been getting emotional support from others due to the pandemic.]"," [6.I've been giving up trying to deal with the pandemic.]"," [7.I've been taking action to try to make the pandemic situation better.]"," [8.I've been refusing to believe that the pandemic has happened.]"," [9.I've been saying things to let my unpleasant feelings about the pandemic escape.]"," [10.I’ve been getting help and advice from other people due to the pandemic.]"," [11.I've been using alcohol or other drugs to help me get through the pandemic.]"," [12.I’ve been trying to look at the pandemic from a different light to try and make it seem more positive.]"," [13.I've been criticizing myself due to the pandemic.]"," [14.I’ve been trying to come up with a strategy to face the pandemic.]"," [15.I've been getting comfort and understanding from someone due to the pandemic.]"," [16.I've been giving up the attempt to cope with the pandemic.]"," [17.I’ve been looking for something good in what’s happening due to the pandemic.]"," [18.I’ve been making jokes about the pandemic.]"," [19.I’ve been doing something to think about the pandemic less, such as going to the movies, watching TV, reading, daydreaming, sleeping or shopping.]"," [20.I’ve been accepting the reality of the fact that the pandemic happened.]"," [21.I’ve been expressing my negative feelings about the pandemic.]"," [22.I’ve been trying to find comfort in my religion or spiritual beliefs due to the pandemic.]"," [23.I’ve been trying to get advice or help from other people about the pandemic.]"," [24.I’ve been learning to live with the pandemic.]"," [25.I’ve been thinking hard about what steps to take about the pandemic.]"," [26.I’ve been blaming my self for the things that happened during the pandemic.]"," [27.I’ve been praying or meditating due to the pandemic.]"," [28.I’ve been making fun of the pandemic situation.]"
"2022/11/24 12:21:52 am GMT+5:30","Yes","Yes","University of Sri Jayawardanapura","17/18","Female","25","Sri Lankan","Single","Buddhism","Boarding Place","Nuclear","Fourth Year","3 - farly often","2 - sometimes","2 - sometimes","4 - very often","1 - almost never","2 - sometimes","1 - almost never","1 - almost never","3 - farly often","3 - farly often","5 - agree entirely","2 - disagree for the most part","2 - disagree for the most part","5 - agree entirely","4 - agree for the most part","3 - undecided","2 - disagree for the most part","1 - disagree entirely","2 - disagree for the most part","5 - agree entirely","4 - agree fort the most part","4 - agree fort the most part","1 - disagree entirely","2 - disagree for the most part","I've been doing this a lot - 4","A medium amount - 3","I haven't been doing this at all - 1","I haven't been doing this at all - 1","A little bit - 2","A medium amount - 3","A medium amount - 3","I haven't been doing this at all - 1","I haven't been doing this at all - 1","A little bit - 2","I haven't been doing this at all - 1","A medium amount - 3","I haven't been doing this at all - 1","A little bit - 2","A medium amount - 3","A medium amount - 3","A medium amount - 3","I haven't been doing this at all - 1","I've been doing this a lot - 4","A medium amount - 3","I haven't been doing this at all - 1","A little bit - 2","A little bit - 2","A medium amount - 3","I haven't been doing this at all - 1","I haven't been doing this at all - 1","A little bit - 2","A little bit - 2"
"2022/11/24 2:17:55 am GMT+5:30","Yes","Yes","University of Kelaniya","16/17","Female","25","Sri Lankan","Single","Islam","Hostel","Nuclear","Final Year","2 - sometimes","2 - sometimes","3 - farly often","3 - farly often","2 - sometimes","2 - sometimes","3 - farly often","1 - almost never","2 - sometimes","1 - almost never","4 - agree for the most part","2 - disagree for the most part","2 - disagree for the most part","3 - undecided","4 - agree for the most part","3 - undecided","2 - disagree for the most part","4 - agree for the most part","1 - disagree entirely","2 - disagree for the most part","4 - agree fort the most part","4 - agree fort the most part","1 - disagree entirely","2 - disagree for the most part","A medium amount - 3","A little bit - 2","I haven't been doing this at all - 1","I haven't been doing this at all - 1","A little bit - 2","I haven't been doing this at all - 1","A little bit - 2","I haven't been doing this at all - 1","A little bit - 2","A medium amount - 3","I haven't been doing this at all - 1","A little bit - 2","I haven't been doing this at all - 1","A little bit - 2","A little bit - 2","I haven't been doing this at all - 1","A little bit - 2","I haven't been doing this at all - 1","A little bit - 2","A medium amount - 3","A medium amount - 3","I've been doing this a lot - 4","A medium amount - 3","A medium amount - 3","A medium amount - 3","A little bit - 2","A medium amount - 3","I haven't been doing this at all - 1"
"2022/11/24 6:56:41 am GMT+5:30","Yes","Yes","University of Peradeniya","19/20","Female","24","Sri Lankan","Single","Islam","Home","Nuclear","Second Year","2 - sometimes","2 - sometimes","3 - farly often","4 - very often","4 - very often","2 - sometimes","3 - farly often","2 - sometimes","2 - sometimes","0 - never","4 - agree for the most part","3 - undecided","2 - disagree for the most part","4 - agree for the most part","5 - agree entirely","3 - undecided","5 - agree entirely","3 - undecided","5 - agree entirely","5 - agree entirely","5 - agree entirely","3 - undecided","1 - disagree entirely","3 - undecided","A little bit - 2","A little bit - 2","I haven't been doing this at all - 1","I haven't been doing this at all - 1","A little bit - 2","I haven't been doing this at all - 1","I haven't been doing this at all - 1","I haven't been doing this at all - 1","A little bit - 2","I haven't been doing this at all - 1","I haven't been doing this at all - 1","A little bit - 2","I haven't been doing this at all - 1","A little bit - 2","I haven't been doing this at all - 1","I haven't been doing this at all - 1","I've been doing this a lot - 4","I haven't been doing this at all - 1","A medium amount - 3","A medium amount - 3","A little bit - 2","A little bit - 2","I haven't been doing this at all - 1","I've been doing this a lot - 4","A little bit - 2","I haven't been doing this at all - 1","I've been doing this a lot - 4","I haven't been doing this at all - 1"
"2022/11/24 7:18:05 am GMT+5:30","Yes","Yes","University of Kelaniya","17/18","Female","25","Sri Lankan","In a Romantic Relationship","Buddhism","Hostel","Nuclear","Fourth Year","2 - sometimes","2 - sometimes","3 - farly often","3 - farly often","2 - sometimes","2 - sometimes","2 - sometimes","2 - sometimes","2 - sometimes","3 - farly often","2 - disagree for the most part","2 - disagree for the most part","2 - disagree for the most part","2 - disagree for the most part","2 - disagree for the most part","2 - disagree for the most part","2 - disagree for the most part","2 - disagree for the most part","2 - disagree for the most part","2 - disagree for the most part","3 - undecided","4 - agree fort the most part","3 - undecided","2 - disagree for the most part","A little bit - 2","A little bit - 2","I haven't been doing this at all - 1","I haven't been doing this at all - 1","I haven't been doing this at all - 1","I haven't been doing this at all - 1","A little bit - 2","I haven't been doing this at all - 1","I haven't been doing this at all - 1","I haven't been doing this at all - 1","I haven't been doing this at all - 1","I haven't been doing this at all - 1","I haven't been doing this at all - 1","I haven't been doing this at all - 1","I haven't been doing this at all - 1","I haven't been doing this at all - 1","A little bit - 2","I haven't been doing this at all - 1","A little bit - 2","I've been doing this a lot - 4","I've been doing this a lot - 4","A medium amount - 3","A little bit - 2","A medium amount - 3","A medium amount - 3","I haven't been doing this at all - 1","A little bit - 2","I haven't been doing this at all - 1"
"2022/11/24 7:37:00 am GMT+5:30","Yes","Yes","University of Ruhuna","17/18","Male","26","Sri Lankan","Single","Buddhism","Hostel","Nuclear","Fourth Year","1 - almost never","0 - never","2 - sometimes","4 - very often","4 - very often","0 - never","3 - farly often","2 - sometimes","1 - almost never","3 - farly often","4 - agree for the most part","1 - disagree entirely","1 - disagree entirely","1 - disagree entirely","1 - disagree entirely","3 - undecided","4 - agree for the most part","1 - disagree entirely","1 - disagree entirely","1 - disagree entirely","5 - agree entirely","4 - agree fort the most part","1 - disagree entirely","1 - disagree entirely","I haven't been doing this at all - 1","A little bit - 2","I haven't been doing this at all - 1","I haven't been doing this at all - 1","I haven't been doing this at all - 1","I haven't been doing this at all - 1","A medium amount - 3","I haven't been doing this at all - 1","I haven't been doing this at all - 1","I haven't been doing this at all - 1","I haven't been doing this at all - 1","I've been doing this a lot - 4","I haven't been doing this at all - 1","I've been doing this a lot - 4","A medium amount - 3","A medium amount - 3","A medium amount - 3","A little bit - 2","I haven't been doing this at all - 1","I've been doing this a lot - 4","I haven't been doing this at all - 1","I haven't been doing this at all - 1","A medium amount - 3","I've been doing this a lot - 4","A medium amount - 3","I haven't been doing this at all - 1","I haven't been doing this at all - 1","A little bit - 2"
"2022/11/24 7:58:37 am GMT+5:30","Yes","Yes","University of Ruhuna","17/18","Male","24","Sri Lankan","Single","Buddhism","Boarding Place","Nuclear","Fourth Year","2 - sometimes","2 - sometimes","2 - sometimes","2 - sometimes","2 - sometimes","2 - sometimes","2 - sometimes","2 - sometimes","2 - sometimes","2 - sometimes","2 - disagree for the most part","2 - disagree for the most part","1 - disagree entirely","1 - disagree entirely","1 - disagree entirely","1 - disagree entirely","2 - disagree for the most part","2 - disagree for the most part","3 - undecided","1 - disagree entirely","4 - agree fort the most part","2 - disagree for the most part","1 - disagree entirely","2 - disagree for the most part","A medium amount - 3","A medium amount - 3","I haven't been doing this at all - 1","I haven't been doing this at all - 1","A little bit - 2","I haven't been doing this at all - 1","A little bit - 2","I haven't been doing this at all - 1","I haven't been doing this at all - 1","A medium amount - 3","I haven't been doing this at all - 1","A little bit - 2","I haven't been doing this at all - 1","A little bit - 2","A medium amount - 3","A little bit - 2","A little bit - 2","A little bit - 2","I've been doing this a lot - 4","A little bit - 2","A little bit - 2","A little bit - 2","A little bit - 2","A medium amount - 3","A little bit - 2","I haven't been doing this at all - 1","A little bit - 2","I haven't been doing this at all - 1"
"2022/11/24 9:59:21 am GMT+5:30","Yes","Yes","University of Peradeniya","19/20","Male","21","Sri Lankan","In a Romantic Relationship","Buddhism","Hostel","Nuclear","Second Year","2 - sometimes","2 - sometimes","1 - almost never","4 - very often","2 - sometimes","2 - sometimes","4 - very often","4 - very often","1 - almost never","2 - sometimes","4 - agree for the most part","4 - agree for the most part","1 - disagree entirely","2 - disagree for the most part","2 - disagree for the most part","1 - disagree entirely","2 - disagree for the most part","1 - disagree entirely","2 - disagree for the most part","2 - disagree for the most part","5 - agree entirely","4 - agree fort the most part","2 - disagree for the most part","1 - disagree entirely","I've been doing this a lot - 4","A little bit - 2","I haven't been doing this at all - 1","I haven't been doing this at all - 1","A little bit - 2","A medium amount - 3","A medium amount - 3","I haven't been doing this at all - 1","I haven't been doing this at all - 1","A little bit - 2","I haven't been doing this at all - 1","I haven't been doing this at all - 1","I haven't been doing this at all - 1","A medium amount - 3","A medium amount - 3","I haven't been doing this at all - 1","A medium amount - 3","A little bit - 2","A medium amount - 3","A medium amount - 3","A little bit - 2","A little bit - 2","A little bit - 2","A medium amount - 3","A little bit - 2","I haven't been doing this at all - 1","I haven't been doing this at all - 1","A little bit - 2"
"2022/11/24 12:28:24 pm GMT+5:30","Yes","Yes","University of Peradeniya","20/21","Female","21","Sri Lankan","Single","Buddhism","Home","Nuclear","First year","3 - farly often","4 - very often","4 - very often","2 - sometimes","2 - sometimes","2 - sometimes","1 - almost never","0 - never","4 - very often","2 - sometimes","4 - agree for the most part","2 - disagree for the most part","4 - agree for the most part","2 - disagree for the most part","4 - agree for the most part","3 - undecided","2 - disagree for the most part","4 - agree for the most part","4 - agree for the most part","5 - agree entirely","2 - disagree for the most part","5 - agree entirely","1 - disagree entirely","2 - disagree for the most part","A medium amount - 3","A little bit - 2","I haven't been doing this at all - 1","I haven't been doing this at all - 1","A medium amount - 3","A little bit - 2","A medium amount - 3","I haven't been doing this at all - 1","A medium amount - 3","A medium amount - 3","I haven't been doing this at all - 1","A little bit - 2","A little bit - 2","A little bit - 2","A medium amount - 3","A little bit - 2","A little bit - 2","A little bit - 2","I've been doing this a lot - 4","I've been doing this a lot - 4","I've been doing this a lot - 4","A medium amount - 3","A medium amount - 3","A medium amount - 3","A little bit - 2","I haven't been doing this at all - 1","A medium amount - 3","I haven't been doing this at all - 1"
"2022/11/24 12:39:19 pm GMT+5:30","Yes","Yes","University of Peradeniya","19/20","Female","24","Sri Lankan","In a Romantic Relationship","Buddhism","Home","Nuclear","Second Year","1 - almost never","2 - sometimes","3 - farly often","3 - farly often","1 - almost never","2 - sometimes","1 - almost never","1 - almost never","3 - farly often","3 - farly often","2 - disagree for the most part","2 - disagree for the most part","2 - disagree for the most part","2 - disagree for the most part","2 - disagree for the most part","2 - disagree for the most part","4 - agree for the most part","3 - undecided","3 - undecided","4 - agree for the most part","4 - agree fort the most part","4 - agree fort the most part","4 - agree fort the most part","3 - undecided","A medium amount - 3","A medium amount - 3","I haven't been doing this at all - 1","I haven't been doing this at all - 1","A little bit - 2","A medium amount - 3","A medium amount - 3","I haven't been doing this at all - 1","I haven't been doing this at all - 1","A little bit - 2","I haven't been doing this at all - 1","A medium amount - 3","I haven't been doing this at all - 1","I haven't been doing this at all - 1","A medium amount - 3","I haven't been doing this at all - 1","A little bit - 2","I haven't been doing this at all - 1","A medium amount - 3","I haven't been doing this at all - 1","A little bit - 2","A little bit - 2","A little bit - 2","A medium amount - 3","A medium amount - 3","I haven't been doing this at all - 1","A little bit - 2","I haven't been doing this at all - 1"
"2022/11/24 2:00:39 pm GMT+5:30","Yes","Yes","University of Peradeniya","20/21","Male","20","Sri Lankan","Single","Buddhism","Hostel","Nuclear","First year","2 - sometimes","0 - never","2 - sometimes","4 - very often","2 - sometimes","2 - sometimes","1 - almost never","1 - almost never","0 - never","1 - almost never","2 - disagree for the most part","4 - agree for the most part","2 - disagree for the most part","2 - disagree for the most part","2 - disagree for the most part","3 - undecided","2 - disagree for the most part","1 - disagree entirely","1 - disagree entirely","2 - disagree for the most part","2 - disagree for the most part","3 - undecided","3 - undecided","1 - disagree entirely","A medium amount - 3","A medium amount - 3","I haven't been doing this at all - 1","I haven't been doing this at all - 1","A little bit - 2","I haven't been doing this at all - 1","A little bit - 2","I haven't been doing this at all - 1","I haven't been doing this at all - 1","A little bit - 2","I haven't been doing this at all - 1","I haven't been doing this at all - 1","I haven't been doing this at all - 1","I haven't been doing this at all - 1","A little bit - 2","A medium amount - 3","A medium amount - 3","A little bit - 2","A medium amount - 3","A medium amount - 3","A little bit - 2","A little bit - 2","I haven't been doing this at all - 1","I've been doing this a lot - 4","A little bit - 2","A little bit - 2","A medium amount - 3","A little bit - 2"
"2022/11/24 3:10:02 pm GMT+5:30","Yes","Yes","University of Colombo","18/19","Female","22","Sri Lankan","Single","Islam","Boarding Place","Nuclear","Third Year","4 - very often","3 - farly often","3 - farly often","2 - sometimes","0 - never","3 - farly often","1 - almost never","1 - almost never","3 - farly often","1 - almost never","2 - disagree for the most part","3 - undecided","1 - disagree entirely","2 - disagree for the most part","4 - agree for the most part","4 - agree for the most part","1 - disagree entirely","5 - agree entirely","1 - disagree entirely","5 - agree entirely","3 - undecided","5 - agree entirely","5 - agree entirely","4 - agree fort the most part","I've been doing this a lot - 4","I haven't been doing this at all - 1","I haven't been doing this at all - 1","I haven't been doing this at all - 1","I've been doing this a lot - 4","I've been doing this a lot - 4","A medium amount - 3","I haven't been doing this at all - 1","I haven't been doing this at all - 1","I've been doing this a lot - 4","I haven't been doing this at all - 1","A medium amount - 3","A medium amount - 3","I haven't been doing this at all - 1","A little bit - 2","A medium amount - 3","A medium amount - 3","A little bit - 2","I've been doing this a lot - 4","I've been doing this a lot - 4","A medium amount - 3","A little bit - 2","A medium amount - 3","A medium amount - 3","A little bit - 2","I've been doing this a lot - 4","A little bit - 2","I haven't been doing this at all - 1"
"2022/11/24 3:32:31 pm GMT+5:30","Yes","Yes","University of Kelaniya","18/19","Male","23","Sri Lankan","In a Romantic Relationship","Buddhism","Home","Nuclear","Third Year","2 - sometimes","3 - farly often","3 - farly often","2 - sometimes","1 - almost never","2 - sometimes","2 - sometimes","1 - almost never","2 - sometimes","3 - farly often","5 - agree entirely","5 - agree entirely","3 - undecided","2 - disagree for the most part","1 - disagree entirely","2 - disagree for the most part","1 - disagree entirely","3 - undecided","3 - undecided","4 - agree for the most part","2 - disagree for the most part","3 - undecided","4 - agree fort the most part","3 - undecided","A medium amount - 3","A little bit - 2","A medium amount - 3","A medium amount - 3","A little bit - 2","A medium amount - 3","A medium amount - 3","A little bit - 2","A medium amount - 3","A medium amount - 3","A medium amount - 3","A medium amount - 3","A medium amount - 3","A little bit - 2","A medium amount - 3","A little bit - 2","A medium amount - 3","A little bit - 2","A medium amount - 3","A medium amount - 3","A medium amount - 3","A little bit - 2","A medium amount - 3","I've been doing this a lot - 4","A medium amount - 3","A medium amount - 3","A medium amount - 3","A little bit - 2"
"2022/11/24 9:09:39 pm GMT+5:30","Yes","Yes","University of Colombo","16/17","Female","25","Sri Lankan","Single","Buddhism","Hostel","Nuclear","Fourth Year","3 - farly often","4 - very often","4 - very often","1 - almost never","1 - almost never","3 - farly often","1 - almost never","1 - almost never","3 - farly often","3 - farly often","5 - agree entirely","5 - agree entirely","5 - agree entirely","4 - agree for the most part","5 - agree entirely","5 - agree entirely","2 - disagree for the most part","4 - agree for the most part","5 - agree entirely","5 - agree entirely","5 - agree entirely","5 - agree entirely","1 - disagree entirely","1 - disagree entirely","I've been doing this a lot - 4","A medium amount - 3","I haven't been doing this at all - 1","I haven't been doing this at all - 1","I've been doing this a lot - 4","I've been doing this a lot - 4","A medium amount - 3","I haven't been doing this at all - 1","I've been doing this a lot - 4","I've been doing this a lot - 4","I haven't been doing this at all - 1","A medium amount - 3","A medium amount - 3","A little bit - 2","I've been doing this a lot - 4","A medium amount - 3","A little bit - 2","I haven't been doing this at all - 1","I've been doing this a lot - 4","I've been doing this a lot - 4","I've been doing this a lot - 4","A medium amount - 3","I've been doing this a lot - 4","A medium amount - 3","A medium amount - 3","A little bit - 2","I haven't been doing this at all - 1","I haven't been doing this at all - 1"
"2022/11/25 12:20:57 am GMT+5:30","Yes","Yes","University of Colombo","17/18","Male","24","Sri Lankan","Single","Hindu","Hostel","Nuclear","Fourth Year","1 - almost never","1 - almost never","0 - never","4 - very often","2 - sometimes","2 - sometimes","3 - farly often","3 - farly often","2 - sometimes","0 - never","4 - agree for the most part","3 - undecided","4 - agree for the most part","4 - agree for the most part","3 - undecided","3 - undecided","4 - agree for the most part","2 - disagree for the most part","3 - undecided","4 - agree for the most part","3 - undecided","4 - agree fort the most part","1 - disagree entirely","1 - disagree entirely","A medium amount - 3","I've been doing this a lot - 4","A little bit - 2","I haven't been doing this at all - 1","I haven't been doing this at all - 1","I haven't been doing this at all - 1","A medium amount - 3","I haven't been doing this at all - 1","A little bit - 2","I haven't been doing this at all - 1","I haven't been doing this at all - 1","I've been doing this a lot - 4","I haven't been doing this at all - 1","A medium amount - 3","A medium amount - 3","I haven't been doing this at all - 1","I've been doing this a lot - 4","A medium amount - 3","I've been doing this a lot - 4","A medium amount - 3","I haven't been doing this at all - 1","I haven't been doing this at all - 1","A little bit - 2","A medium amount - 3","A little bit - 2","I haven't been doing this at all - 1","I haven't been doing this at all - 1","I haven't been doing this at all - 1"
"2022/11/25 3:09:08 am GMT+5:30","Yes","Yes","University of Peradeniya","19/20","Male","22","Sri Lankan","In a Romantic Relationship","Buddhism","Hostel","Nuclear","Second Year","2 - sometimes","2 - sometimes","2 - sometimes","3 - farly often","3 - farly often","2 - sometimes","2 - sometimes","2 - sometimes","2 - sometimes","2 - sometimes","4 - agree for the most part","2 - disagree for the most part","3 - undecided","2 - disagree for the most part","2 - disagree for the most part","3 - undecided","3 - undecided","3 - undecided","4 - agree for the most part","4 - agree for the most part","4 - agree fort the most part","4 - agree fort the most part","4 - agree fort the most part","3 - undecided","A little bit - 2","A little bit - 2","A little bit - 2","I haven't been doing this at all - 1","A medium amount - 3","A little bit - 2","A little bit - 2","A little bit - 2","I haven't been doing this at all - 1","A medium amount - 3","I haven't been doing this at all - 1","I haven't been doing this at all - 1","A little bit - 2","A little bit - 2","A medium amount - 3","A little bit - 2","A little bit - 2","I haven't been doing this at all - 1","I've been doing this a lot - 4","A little bit - 2","I haven't been doing this at all - 1","A little bit - 2","A medium amount - 3","A medium amount - 3","A little bit - 2","A little bit - 2","A little bit - 2","A little bit - 2"
"2022/11/25 3:53:32 am GMT+5:30","Yes","Yes","University of Peradeniya","18/19","Male","23","Sri Lankan","Single","Athiest","Boarding Place","Nuclear","Third Year","3 - farly often","2 - sometimes","2 - sometimes","3 - farly often","2 - sometimes","0 - never","3 - farly often","3 - farly often","2 - sometimes","1 - almost never","4 - agree for the most part","4 - agree for the most part","1 - disagree entirely","1 - disagree entirely","4 - agree for the most part","1 - disagree entirely","3 - undecided","2 - disagree for the most part","5 - agree entirely","4 - agree for the most part","1 - disagree entirely","5 - agree entirely","4 - agree fort the most part","1 - disagree entirely","A medium amount - 3","A little bit - 2","I haven't been doing this at all - 1","I haven't been doing this at all - 1","I haven't been doing this at all - 1","I haven't been doing this at all - 1","A medium amount - 3","I haven't been doing this at all - 1","I haven't been doing this at all - 1","I haven't been doing this at all - 1","I haven't been doing this at all - 1","A little bit - 2","A medium amount - 3","A little bit - 2","I haven't been doing this at all - 1","I haven't been doing this at all - 1","A little bit - 2","I haven't been doing this at all - 1","A little bit - 2","I've been doing this a lot - 4","A medium amount - 3","I haven't been doing this at all - 1","I haven't been doing this at all - 1","I've been doing this a lot - 4","A medium amount - 3","A medium amount - 3","I haven't been doing this at all - 1","I haven't been doing this at all - 1"
"2022/11/25 8:55:05 am GMT+5:30","Yes","Yes","University of Sri Jayawardanapura","20/21","Female","23","Sri Lankan","Single","Christianity","Home","Nuclear","First year","2 - sometimes","2 - sometimes","2 - sometimes","2 - sometimes","2 - sometimes","2 - sometimes","2 - sometimes","2 - sometimes","2 - sometimes","2 - sometimes","1 - disagree entirely","1 - disagree entirely","1 - disagree entirely","1 - disagree entirely","1 - disagree entirely","1 - disagree entirely","1 - disagree entirely","1 - disagree entirely","2 - disagree for the most part","1 - disagree entirely","2 - disagree for the most part","1 - disagree entirely","1 - disagree entirely","1 - disagree entirely","I haven't been doing this at all - 1","A little bit - 2","A medium amount - 3","I haven't been doing this at all - 1","I haven't been doing this at all - 1","A medium amount - 3","A medium amount - 3","A medium amount - 3","A little bit - 2","A little bit - 2","I haven't been doing this at all - 1","A medium amount - 3","A medium amount - 3","A medium amount - 3","A medium amount - 3","A medium amount - 3","A medium amount - 3","A medium amount - 3","A medium amount - 3","A medium amount - 3","A medium amount - 3","A medium amount - 3","A medium amount - 3","A medium amount - 3","A medium amount - 3","A medium amount - 3","A medium amount - 3","A medium amount - 3"
"2022/11/25 9:49:59 am GMT+5:30","Yes","Yes","University of Peradeniya","18/19","Female","25","Sri Lankan","Single","Islam","Boarding Place","Nuclear","Second Year","3 - farly often","2 - sometimes","3 - farly often","3 - farly often","3 - farly often","2 - sometimes","3 - farly often","2 - sometimes","2 - sometimes","2 - sometimes","4 - agree for the most part","4 - agree for the most part","4 - agree for the most part","5 - agree entirely","2 - disagree for the most part","3 - undecided","2 - disagree for the most part","3 - undecided","2 - disagree for the most part","2 - disagree for the most part","5 - agree entirely","2 - disagree for the most part","1 - disagree entirely","1 - disagree entirely","A medium amount - 3","A little bit - 2","A little bit - 2","I haven't been doing this at all - 1","A medium amount - 3","A little bit - 2","I've been doing this a lot - 4","A little bit - 2","A little bit - 2","A little bit - 2","I haven't been doing this at all - 1","I've been doing this a lot - 4","A little bit - 2","I've been doing this a lot - 4","I've been doing this a lot - 4","I haven't been doing this at all - 1","I've been doing this a lot - 4","A little bit - 2","A medium amount - 3","I've been doing this a lot - 4","A little bit - 2","I've been doing this a lot - 4","I've been doing this a lot - 4","I've been doing this a lot - 4","I've been doing this a lot - 4","I haven't been doing this at all - 1","I've been doing this a lot - 4","A little bit - 2"
"2022/11/25 5:29:27 pm GMT+5:30","Yes","Yes","University of Colombo","16/17","Male","24","Sri Lankan","Single","Buddhism","Hostel","Nuclear","Fourth Year","0 - never","0 - never","0 - never","0 - never","0 - never","0 - never","0 - never","0 - never","0 - never","0 - never","1 - disagree entirely","1 - disagree entirely","1 - disagree entirely","1 - disagree entirely","2 - disagree for the most part","1 - disagree entirely","2 - disagree for the most part","2 - disagree for the most part","2 - disagree for the most part","2 - disagree for the most part","1 - disagree entirely","1 - disagree entirely","1 - disagree entirely","2 - disagree for the most part","A little bit - 2","I haven't been doing this at all - 1","I haven't been doing this at all - 1","A little bit - 2","I haven't been doing this at all - 1","I haven't been doing this at all - 1","I haven't been doing this at all - 1","I haven't been doing this at all - 1","I haven't been doing this at all - 1","I haven't been doing this at all - 1","A little bit - 2","A little bit - 2","A little bit - 2","I haven't been doing this at all - 1","I haven't been doing this at all - 1","I haven't been doing this at all - 1","I haven't been doing this at all - 1","I haven't been doing this at all - 1","A little bit - 2","A little bit - 2","I haven't been doing this at all - 1","I haven't been doing this at all - 1","I haven't been doing this at all - 1","A little bit - 2","A little bit - 2","A little bit - 2","A little bit - 2","I haven't been doing this at all - 1"
"2022/11/26 10:12:36 am GMT+5:30","Yes","Yes","University of Peradeniya","20/21","Male","20","Sri Lankan","Single","Athiest","Hostel","Nuclear","First year","3 - farly often","4 - very often","4 - very often","1 - almost never","0 - never","2 - sometimes","1 - almost never","1 - almost never","3 - farly often","4 - very often","4 - agree for the most part","5 - agree entirely","3 - undecided","4 - agree for the most part","5 - agree entirely","3 - undecided","4 - agree for the most part","5 - agree entirely","5 - agree entirely","5 - agree entirely","5 - agree entirely","4 - agree fort the most part","3 - undecided","4 - agree fort the most part","I've been doing this a lot - 4","A medium amount - 3","I haven't been doing this at all - 1","I haven't been doing this at all - 1","A little bit - 2","A medium amount - 3","I haven't been doing this at all - 1","A little bit - 2","A little bit - 2","I've been doing this a lot - 4","I haven't been doing this at all - 1","A medium amount - 3","I've been doing this a lot - 4","A little bit - 2","I haven't been doing this at all - 1","I've been doing this a lot - 4","A little bit - 2","A medium amount - 3","I've been doing this a lot - 4","A medium amount - 3","A medium amount - 3","A little bit - 2","I've been doing this a lot - 4","I've been doing this a lot - 4","A medium amount - 3","I've been doing this a lot - 4","I haven't been doing this at all - 1","A medium amount - 3"
